OBJECTID,neighborhood,neighborhood_no,area,Year,Indicator Name,Value,elementary,middle,high,main elementary,main middle,main high,number of elementary schools,number of middle schools,number of high schools
22,23rd & Union-Jackson,109,625.2664128,2020,10_year_frac_growth_kids,0.049089906232763374,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,2020,10_year_frac_growth_kids,0.5561139028475712,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,2020,10_year_frac_growth_kids,0.0248565965583174,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,2020,10_year_frac_growth_kids,0.08585858585858586,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,2020,10_year_frac_growth_kids,0.03629536921151439,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,2020,10_year_frac_growth_kids,0.09701492537313433,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,2020,10_year_frac_growth_kids,0.6831683168316832,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,2020,10_year_frac_growth_kids,0.19686162624821682,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,2020,10_year_frac_growth_kids,0.39315352697095435,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,2020,10_year_frac_growth_kids,-0.19883040935672514,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,2020,10_year_frac_growth_kids,0.021022109459949256,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,1990,total population,1921.0,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,1990,total population,3153.0,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,1990,total population,3627.0,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,1990,total population,4281.0,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,1990,total population,28940.0,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,1990,total population,2210.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,1990,total population,1116.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,1990,total population,18166.0,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,1990,total population,3600.0,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,1990,total population,3765.0,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,1990,total population,2111.0,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,1990,total population,2829.0,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,1990,total population,2119.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,1990,total population,4958.0,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,1990,total population,5067.0,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,1990,total population,2016.0,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,1990,total population,12193.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,1990,total population,4472.0,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,1990,total population,3393.0,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,1990,total population,7631.0,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,1990,total population,3573.0,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,1990,total population,3665.0,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,1990,total population,1186.0,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,1990,total population,4709.0,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,1990,total population,1595.0,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,1990,total population,3613.0,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,1990,total population,4102.0,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,1990,total population,8532.0,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,1990,total population,2362.0,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,1990,total population,6178.0,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,2000,total population,2018.0,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,2000,total population,3441.0,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,2000,total population,4127.0,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,2000,total population,4991.0,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,2000,total population,33902.0,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,2000,total population,2479.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,2000,total population,1547.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,2000,total population,19664.0,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,2000,total population,3874.0,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,2000,total population,4330.0,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,2000,total population,2728.0,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,2000,total population,3098.0,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,2000,total population,2342.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,2000,total population,6131.0,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,2000,total population,5206.0,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,2000,total population,2308.0,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,2000,total population,21555.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,2000,total population,5085.0,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,2000,total population,4339.0,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,2000,total population,8986.0,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,2000,total population,3658.0,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,2000,total population,4544.0,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,2000,total population,1352.0,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,2000,total population,5517.0,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,2000,total population,1886.0,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,2000,total population,4075.0,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,2000,total population,4778.0,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,2000,total population,9394.0,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,2000,total population,3091.0,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,2000,total population,6530.0,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,2010,total population,2143.0,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,2010,total population,3960.0,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,2010,total population,5043.0,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,2010,total population,4609.0,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,2010,total population,35892.0,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,2010,total population,2616.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,2010,total population,3774.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,2010,total population,22875.0,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,2010,total population,4191.0,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,2010,total population,4606.0,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,2010,total population,3899.0,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,2010,total population,4066.0,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,2010,total population,2904.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,2010,total population,6620.0,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,2010,total population,5217.0,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,2010,total population,2927.0,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,2010,total population,26844.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,2010,total population,7300.0,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,2010,total population,4094.0,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,2010,total population,10460.0,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,2010,total population,4519.0,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,2010,total population,5325.0,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,2010,total population,1528.0,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,2010,total population,6179.0,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,2010,total population,2046.0,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,2010,total population,5084.0,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,2010,total population,5425.0,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,2010,total population,11440.0,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,2010,total population,3448.0,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,2010,total population,9330.0,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,2020,total population,2604.0,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,2020,total population,5841.0,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,2020,total population,9160.0,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,2020,total population,7661.0,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,2020,total population,49174.0,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,2020,total population,4678.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,2020,total population,12905.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,2020,total population,29887.0,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,2020,total population,4893.0,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,2020,total population,4751.0,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,2020,total population,5081.0,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,2020,total population,5611.0,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,2020,total population,3934.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,2020,total population,7950.0,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,2020,total population,5748.0,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,2020,total population,3492.0,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,2020,total population,41875.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,2020,total population,11840.0,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,2020,total population,4830.0,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,2020,total population,13610.0,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,2020,total population,6100.0,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,2020,total population,6777.0,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,2020,total population,1978.0,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,2020,total population,7064.0,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,2020,total population,2366.0,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,2020,total population,6100.0,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,2020,total population,6506.0,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,2020,total population,17707.0,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,2020,total population,3242.0,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,2020,total population,11257.0,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,1990,total density,36.480187695803195,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,1990,total density,14.69854124040761,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,1990,total density,13.412617024736853,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,1990,total density,12.796548258534697,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,1990,total density,31.58623812773353,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,1990,total density,12.983825506301146,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,1990,total density,3.2834449087240123,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,1990,total density,24.158075322910147,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,1990,total density,13.284684116502468,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,1990,total density,13.687813350516619,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,1990,total density,14.838292572223816,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,1990,total density,19.46692414863291,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,1990,total density,19.721784442506177,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,1990,total density,12.02548325638424,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,1990,total density,18.9863250302638,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,1990,total density,21.41090084233019,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,1990,total density,12.790552263029197,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,1990,total density,13.429401280113833,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,1990,total density,9.802282399835025,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,1990,total density,12.204397747558016,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,1990,total density,9.82188207359515,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,1990,total density,7.464083931948521,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,1990,total density,12.071449466108671,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,1990,total density,14.402435083591465,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,1990,total density,14.07650485781992,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,1990,total density,18.132456746369435,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,1990,total density,15.898878919312068,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,1990,total density,17.219794186840158,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,1990,total density,8.953799679106055,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,1990,total density,12.38167361568324,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,2000,total density,38.32223777726749,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,2000,total density,16.041129212890134,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,2000,total density,15.261613030352631,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
